lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
1049TSS04_blue_sm,CO,1049TSS04_blue_sm,10,in_stock,dynamic,10
1049TSS04_blue_md,CO,1049TSS04_blue_md,9,in_stock,dynamic,9
1049TSS04_blue_lg,CO,1049TSS04_blue_lg,6,in_stock,dynamic,6
1049TSS04_blue_xl,CO,1049TSS04_blue_xl,4,in_stock,dynamic,4
1049TSS03_green_sm,CO,1049TSS03_green_sm,7,in_stock,dynamic,7
1049TSS03_green_md,CO,1049TSS03_green_md,11,in_stock,dynamic,11
1049TSS03_green_lg,CO,1049TSS03_green_lg,22,in_stock,dynamic,22
1049TSS03_green_xl,CO,1049TSS03_green_xl,3,in_stock,dynamic,3
1049TSS02_red_sm,CO,1049TSS02_red_sm,8,in_stock,dynamic,8
1049TSS02_red_md,CO,1049TSS02_red_md,12,in_stock,dynamic,12
1049TSS02_red_lg,CO,1049TSS02_red_lg,8,in_stock,dynamic,8
1049TSS02_red_xl,CO,1049TSS02_red_xl,5,in_stock,dynamic,5
1046TSF04_wine_sm,CO,1046TSF04_wine_sm,4,in_stock,dynamic,4
1046TSF04_wine_md,CO,1046TSF04_wine_md,23,in_stock,dynamic,23
1046TSF04_wine_lg,CO,1046TSF04_wine_lg,2,in_stock,dynamic,2
1046TSF04_wine_xl,CO,1046TSF04_wine_xl,5,in_stock,dynamic,5
1046TSF03_blue_sm,CO,1046TSF03_blue_sm,4,in_stock,dynamic,4
1046TSF03_blue_md,CO,1046TSF03_blue_md,7,in_stock,dynamic,7
1046TSF03_blue_lg,CO,1046TSF03_blue_lg,9,in_stock,dynamic,9
1046TSF03_blue_xl,CO,1046TSF03_blue_xl,15,in_stock,dynamic,15
1042TRS03_red_sm,CO,1042TRS03_red_sm,20,in_stock,dynamic,20
1042TRS03_red_md,CO,1042TRS03_red_md,10,in_stock,dynamic,10
1042TRS03_red_lg,CO,1042TRS03_red_lg,9,in_stock,dynamic,9
1042TRS03_red_xl,CO,1042TRS03_red_xl,6,in_stock,dynamic,6
1042TRS02_blue_sm,CO,1042TRS02_blue_sm,4,in_stock,dynamic,4
1042TRS02_blue_md,CO,1042TRS02_blue_md,7,in_stock,dynamic,7
1042TRS02_blue_lg,CO,1042TRS02_blue_lg,11,in_stock,dynamic,11
1042TRS02_blue_xl,CO,1042TRS02_blue_xl,22,in_stock,dynamic,22
1041TBS03_green_sm,CO,1041TBS03_green_sm,3,in_stock,dynamic,3
1041TBS03_green_md,CO,1041TBS03_green_md,8,in_stock,dynamic,8
1041TBS03_green_lg,CO,1041TBS03_green_lg,12,in_stock,dynamic,12
1041TBS03_green_xl,CO,1041TBS03_green_xl,8,in_stock,dynamic,8
1041TBS02_red_sm,CO,1041TBS02_red_sm,5,in_stock,dynamic,5
1041TBS02_red_md,CO,1041TBS02_red_md,4,in_stock,dynamic,4
1041TBS02_red_lg,CO,1041TBS02_red_lg,23,in_stock,dynamic,23
1041TBS02_red_xl,CO,1041TBS02_red_xl,2,in_stock,dynamic,2
1038TSL03_red_sm,CO,1038TSL03_red_sm,5,in_stock,dynamic,5
1038TSL03_red_md,CO,1038TSL03_red_md,4,in_stock,dynamic,4
1038TSL03_red_lg,CO,1038TSL03_red_lg,7,in_stock,dynamic,7
1038TSL03_red_xl,CO,1038TSL03_red_xl,9,in_stock,dynamic,9
1038TSL02_green_sm,CO,1038TSL02_green_sm,15,in_stock,dynamic,15
1038TSL02_green_md,CO,1038TSL02_green_md,20,in_stock,dynamic,20
1038TSL02_green_lg,CO,1038TSL02_green_lg,10,in_stock,dynamic,10
1038TSL02_green_xl,CO,1038TSL02_green_xl,9,in_stock,dynamic,9
1372CSH02_white_sm,CO,1372CSH02_white_sm,6,in_stock,dynamic,6
1372CSH02_white_md,CO,1372CSH02_white_md,4,in_stock,dynamic,4
1372CSH02_white_lg,CO,1372CSH02_white_lg,7,in_stock,dynamic,7
1422CSD04_purple_sm,CO,1422CSD04_purple_sm,11,in_stock,dynamic,11
1422CSD04_purple_md,CO,1422CSD04_purple_md,22,in_stock,dynamic,22
1422CSD04_purple_lg,CO,1422CSD04_purple_lg,3,in_stock,dynamic,3
1438CSD05_red_sm,CO,1438CSD05_red_sm,8,in_stock,dynamic,8
1438CSD05_red_md,CO,1438CSD05_red_md,12,in_stock,dynamic,12
1438CSD05_red_lg,CO,1438CSD05_red_lg,8,in_stock,dynamic,8
1442CSH05_purple_sm,CO,1442CSH05_purple_sm,5,in_stock,dynamic,5
1442CSH05_purple_md,CO,1442CSH05_purple_md,4,in_stock,dynamic,4
1442CSH05_purple_lg,CO,1442CSH05_purple_lg,23,in_stock,dynamic,23
1442CSH06_blue_sm,CO,1442CSH06_blue_sm,2,in_stock,dynamic,2
1442CSH06_blue_md,CO,1442CSH06_blue_md,5,in_stock,dynamic,5
1442CSH06_blue_lg,CO,1442CSH06_blue_lg,4,in_stock,dynamic,4
1446CKL01_blue_sm,CO,1446CKL01_blue_sm,7,in_stock,dynamic,7
1446CKL01_blue_md,CO,1446CKL01_blue_md,9,in_stock,dynamic,9
1446CKL01_blue_lg,CO,1446CKL01_blue_lg,15,in_stock,dynamic,15
1461CSD03_blue_sm,CO,1461CSD03_blue_sm,20,in_stock,dynamic,20
1461CSD03_blue_md,CO,1461CSD03_blue_md,10,in_stock,dynamic,10
1461CSD03_blue_lg,CO,1461CSD03_blue_lg,9,in_stock,dynamic,9
1461CSD04_purple_sm,CO,1461CSD04_purple_sm,6,in_stock,dynamic,6
1461CSD04_purple_md,CO,1461CSD04_purple_md,4,in_stock,dynamic,4
1461CSD04_purple_lg,CO,1461CSD04_purple_lg,7,in_stock,dynamic,7
1468CPA03_red_sm,CO,1468CPA03_red_sm,11,in_stock,dynamic,11
1468CPA03_red_md,CO,1468CPA03_red_md,22,in_stock,dynamic,22
1468CPA03_red_lg,CO,1468CPA03_red_lg,3,in_stock,dynamic,3
1469CKS04_purple_sm,CO,1469CKS04_purple_sm,8,in_stock,dynamic,8
1469CKS04_purple_md,CO,1469CKS04_purple_md,12,in_stock,dynamic,12
1469CKS04_purple_lg,CO,1469CKS04_purple_lg,8,in_stock,dynamic,8
1471CSD02_white_sm,CO,1471CSD02_white_sm,5,in_stock,dynamic,5
1471CSD02_white_md,CO,1471CSD02_white_md,4,in_stock,dynamic,4
1471CSD02_white_lg,CO,1471CSD02_white_lg,23,in_stock,dynamic,23
1477CSD03_purple_sm,CO,1477CSD03_purple_sm,2,in_stock,dynamic,2
1477CSD03_purple_md,CO,1477CSD03_purple_md,5,in_stock,dynamic,5
1477CSD03_purple_lg,CO,1477CSD03_purple_lg,4,in_stock,dynamic,4
1502CSD01_red_sm,CO,1502CSD01_red_sm,7,in_stock,dynamic,7
1502CSD01_red_md,CO,1502CSD01_red_md,9,in_stock,dynamic,9
1502CSD01_red_lg,CO,1502CSD01_red_lg,15,in_stock,dynamic,15
1503CSD01_red_sm,CO,1503CSD01_red_sm,20,in_stock,dynamic,20
1503CSD01_red_md,CO,1503CSD01_red_md,10,in_stock,dynamic,10
1503CSD01_red_lg,CO,1503CSD01_red_lg,9,in_stock,dynamic,9
1504CLD01_red_sm,CO,1504CLD01_red_sm,6,in_stock,dynamic,6
1504CLD01_red_md,CO,1504CLD01_red_md,4,in_stock,dynamic,4
1504CLD01_red_lg,CO,1504CLD01_red_lg,7,in_stock,dynamic,7
1506CSD01_green_sm,CO,1506CSD01_green_sm,11,in_stock,dynamic,11
1506CSD01_green_md,CO,1506CSD01_green_md,22,in_stock,dynamic,22
1506CSD01_green_lg,CO,1506CSD01_green_lg,3,in_stock,dynamic,3
1507CKS01_green_sm,CO,1507CKS01_green_sm,8,in_stock,dynamic,8
1507CKS01_green_md,CO,1507CKS01_green_md,12,in_stock,dynamic,12
1507CKS01_green_lg,CO,1507CKS01_green_lg,8,in_stock,dynamic,8
1508CCT01_green_sm,CO,1508CCT01_green_sm,5,in_stock,dynamic,5
1508CCT01_green_md,CO,1508CCT01_green_md,4,in_stock,dynamic,4
1508CCT01_green_lg,CO,1508CCT01_green_lg,23,in_stock,dynamic,23
1509CKL01_white_sm,CO,1509CKL01_white_sm,2,in_stock,dynamic,2
1509CKL01_white_md,CO,1509CKL01_white_md,5,in_stock,dynamic,5
1509CKL01_white_lg,CO,1509CKL01_white_lg,4,in_stock,dynamic,4
1511CRO01_blue_sm,CO,1511CRO01_blue_sm,7,in_stock,dynamic,7
1511CRO01_blue_md,CO,1511CRO01_blue_md,9,in_stock,dynamic,9
1511CRO01_blue_lg,CO,1511CRO01_blue_lg,15,in_stock,dynamic,15
1513CLS01_blue_sm,CO,1513CLS01_blue_sm,20,in_stock,dynamic,20
1513CLS01_blue_md,CO,1513CLS01_blue_md,10,in_stock,dynamic,10
1513CLS01_blue_lg,CO,1513CLS01_blue_lg,9,in_stock,dynamic,9
1514CSD01_blue_sm,CO,1514CSD01_blue_sm,6,in_stock,dynamic,6
1514CSD01_blue_md,CO,1514CSD01_blue_md,4,in_stock,dynamic,4
1514CSD01_blue_lg,CO,1514CSD01_blue_lg,7,in_stock,dynamic,7
1516CCT01_blue_sm,CO,1516CCT01_blue_sm,11,in_stock,dynamic,11
1516CCT01_blue_md,CO,1516CCT01_blue_md,22,in_stock,dynamic,22
1516CCT01_blue_lg,CO,1516CCT01_blue_lg,3,in_stock,dynamic,3
1518CSD01_wine_sm,CO,1518CSD01_wine_sm,8,in_stock,dynamic,8
1518CSD01_wine_md,CO,1518CSD01_wine_md,12,in_stock,dynamic,12
1518CSD01_wine_lg,CO,1518CSD01_wine_lg,8,in_stock,dynamic,8
1519CCT01_purple_sm,CO,1519CCT01_purple_sm,5,in_stock,dynamic,5
